Time (s), Cell Name, Value
1.30156, C0, 0.1414295
1.70204, C0, 0.1178207
2.10252, C0, 0.2720755
5.5066, C0, 0.1213048
6.80816, C0, 0.1543249
13.41608, C0, 0.1442454
13.5162, C0, 0.2656167
13.61632, C0, 0.2042806
13.81656, C0, 0.6552173
16.0192, C0, 0.1409533
16.11932, C0, 0.3618285
18.5222, C0, 0.2571852
21.62592, C0, 0.1114426
24.72964, C0, 0.1516099
24.82976, C0, 0.1366492
29.13492, C0, 0.1513591
30.33636, C0, 0.4401414
30.43648, C0, 0.9227482
30.5366, C0, 0.3970412
30.63672, C0, 0.7239977
30.83696, C0, 0.9693234
30.93708, C0, 0.3521548
31.23744, C0, 0.1253273
32.13852, C0, 0.23327
32.23864, C0, 0.2548711
32.43888, C0, 0.3109747
32.539, C0, 0.3053339
32.63912, C0, 0.3140507
32.73924, C0, 0.5848902
32.83936, C0, 0.5589027
33.94068, C0, 0.1769308
34.24104, C0, 0.1033996
38.64632, C0, 0.1527796
38.84656, C0, 0.181459
42.85136, C0, 0.1307213
46.75604, C0, 0.1540664
47.25664, C0, 0.4836352
47.557, C0, 0.3938389
47.75724, C0, 0.4604368
48.0576, C0, 0.1623025
48.15772, C0, 0.1314287
48.45808, C0, 0.2018414
48.65832, C0, 0.1274729
49.95988, C0, 0.8337987
50.06, C0, 0.1242215
52.563, C0, 0.1319421
59.87176, C0, 0.1845967
60.47248, C0, 0.3947297
60.5726, C0, 0.1144138
61.27344, C0, 0.1268154
64.97788, C0, 0.1297791
66.57980000000001, C0, 0.352008
66.67992, C0, 0.1657985
66.88016, C0, 0.2160001
66.98027999999999, C0, 0.3366688
67.0804, C0, 0.252726
74.38916, C0, 0.126349
76.69192, C0, 0.1242526
77.19252, C0, 0.1400667
79.5954, C0, 0.2025642
80.29624, C0, 0.1564305
82.49888, C0, 0.154695
83.6002, C0, 0.1622536
83.70032, C0, 0.2272108
83.80043999999999, C0, 0.519852
83.90056, C0, 0.2608694
84.10080000000001, C0, 0.3887756
84.50127999999999, C0, 0.1034011
87.1044, C0, 0.1003385
88.70632000000001, C0, 0.1712852
88.90656, C0, 0.1064099
90.50848000000001, C0, 0.1024019
91.00908, C0, 0.187646
91.81004, C0, 0.1503757
94.21292, C0, 0.2741792
95.21411999999999, C0, 0.1040566
95.6146, C0, 0.3491403
96.1152, C0, 0.1167346
97.01627999999999, C0, 0.1265244
97.1164, C0, 0.1360814
97.21652, C0, 0.3752228
98.1176, C0, 0.1462528
98.6182, C0, 0.1368883
101.1212, C0, 0.1096341
108.32984, C0, 0.2963883
108.73032, C0, 0.1264691
112.83524, C0, 0.2495041
116.23932, C0, 0.1160924
116.33944, C0, 0.3931048
116.43956, C0, 0.3377016
116.53968, C0, 0.5377501
116.6398, C0, 0.3860881
116.73992, C0, 0.4787279
116.84004, C0, 0.4289738
116.94016, C0, 0.230446
117.04028, C0, 0.2105053
117.641, C0, 0.1405344
121.1452, C0, 0.2587699
121.34544, C0, 0.193434
121.44556, C0, 0.5231421
121.54568, C0, 0.4817114
121.6458, C0, 0.4180336
121.74592, C0, 0.4176691
123.34784, C0, 0.2996257
123.44796, C0, 0.8041661
123.54808, C0, 0.3258677
123.6482, C0, 0.6865143
123.84844, C0, 0.1630398
127.25252, C0, 0.1552376
127.95336, C0, 0.128527
128.25372, C0, 0.1822391
129.95576, C0, 0.1060991
130.55648, C0, 0.2725433
130.6566, C0, 0.5644129
130.75672, C0, 0.3624982
130.85684, C0, 0.4787152
130.95696, C0, 0.1933347
131.05708, C0, 0.1206833
131.1572, C0, 0.3771376
132.1584, C0, 0.1345987
133.6602, C0, 0.1166235
137.96536, C0, 0.1223379
146.97616, C0, 0.1120459
152.58288, C0, 0.1721353
156.58768, C0, 0.1275705
158.1896, C0, 0.1250679
159.79152, C0, 0.3269375
159.89164, C0, 0.6228509
160.09188, C0, 0.5521556
160.192, C0, 0.5570368
161.09308, C0, 0.205246
162.29452, C0, 0.2303041
162.49476, C0, 0.1376591
162.99536, C0, 0.2026813
163.09548, C0, 0.303957
163.39584, C0, 0.4608647
164.1968, C0, 0.2039587
164.29692, C0, 0.5321295
165.39824, C0, 0.146382
165.6986, C0, 0.265714
166.6998, C0, 0.1625855
167.00016, C0, 0.125161
167.10028, C0, 0.1591671
167.60088, C0, 0.2155866
167.701, C0, 0.1195081
167.90124, C0, 0.2056029
168.00136, C0, 0.1394792
170.204, C0, 0.1187857
172.00616, C0, 0.1576324
172.2064, C0, 0.1081425
175.91084, C0, 0.1131517
176.51156, C0, 0.1586138
180.61648, C0, 0.3136469
180.7166, C0, 0.499863
181.7178, C0, 0.1151563
183.2196, C0, 0.1047511
183.62008, C0, 0.1030474
183.7202, C0, 0.6030608
183.82032, C0, 0.4581394
184.52116, C0, 0.3850348
185.62248, C0, 0.1027494
186.42344, C0, 0.219368
186.82392, C0, 0.1164991
187.62488, C0, 0.1217512
187.725, C0, 0.1188722
190.32812, C0, 0.1556921
192.13028, C0, 0.1043166
192.2304, C0, 0.2374852
195.53436, C0, 0.146523
196.33532, C0, 0.150731
197.63688, C0, 0.1595645
197.737, C0, 0.1059452
197.83712, C0, 0.1271201
202.54276, C0, 0.1306539
204.34492, C0, 0.1210953
205.94684, C0, 0.1395809
206.04696, C0, 0.2545041
206.84792, C0, 0.2518206
207.94924, C0, 0.1406927
212.755, C0, 0.6019401
212.95524, C0, 0.3213277
214.65728, C0, 0.1238968
215.85872, C0, 0.1844377
215.95884, C0, 0.6102629
222.66688, C0, 0.250653
223.7682, C0, 0.1386593
224.46904, C0, 0.1003149
225.47024, C0, 0.1639185
226.47144, C0, 0.113546
230.67648, C0, 0.1131884
231.87792, C0, 0.1422592
232.07816, C0, 0.2470773
233.37972, C0, 0.3568411
233.7802, C0, 0.9280933
233.88032, C0, 0.4340689
233.98044, C0, 0.3760611
234.08056, C0, 0.4535491
234.2808, C0, 0.3800686
234.38092, C0, 0.4442168
234.48104, C0, 0.1218639
234.68128, C0, 0.1301047
234.7814, C0, 0.1759909
234.88152, C0, 0.4549001
235.58236, C0, 0.2337449
235.7826, C0, 0.3107286
235.98284, C0, 0.9290456
236.08296, C0, 0.2293004
236.18308, C0, 0.256413
236.2832, C0, 0.368095
236.38332, C0, 0.1331061
237.08416, C0, 0.1175787
237.2844, C0, 0.1768122
237.58476, C0, 0.7802792
237.68488, C0, 0.2565977
237.785, C0, 0.2663158
242.49064, C0, 0.175371
242.59076, C0, 0.43846
243.49184, C0, 0.1963891
244.59316, C0, 0.1180441
244.99364, C0, 0.2778871
245.294, C0, 0.2270461
245.7946, C0, 0.1018868
245.89472, C0, 0.4574038
247.89712, C0, 0.1082282
257.50864, C0, 0.1439289
257.60876, C0, 0.1221132
262.61476, C0, 0.1034775
267.72088, C0, 0.2463555
270.22388, C0, 0.1032257
272.827, C0, 0.148523
275.33, C0, 0.1318426
275.8306, C0, 0.1888072
275.93072, C0, 0.2617629
276.03084, C0, 0.3490185
276.43132, C0, 0.2658851
276.73168, C0, 0.3713374
276.8318, C0, 0.222121
277.03204, C0, 0.1309492
277.63276, C0, 0.1831502
278.23348, C0, 0.1671957
281.3372, C0, 0.151578
284.64116, C0, 0.1057693
287.3444, C0, 0.1131135
287.64476, C0, 0.1126027
287.74488, C0, 0.3338762
288.94632, C0, 0.1781721
292.25028, C0, 0.2310578
293.65196, C0, 0.1067275
295.05364, C0, 0.1313166
296.15496, C0, 0.1487017
297.05604, C0, 0.2331891
297.15616, C0, 0.386815
298.45772, C0, 0.1553693
298.65796, C0, 0.1185411
299.25868, C0, 0.1097041
305.16576, C0, 0.4043323
305.26588, C0, 0.1590957
305.66636, C0, 0.1709899
305.76648, C0, 0.4809382
305.8666, C0, 0.1026063
306.76768, C0, 0.1356338
308.97032, C0, 0.1490915
310.77248, C0, 0.1628552
311.27308, C0, 0.2314645
314.17656, C0, 0.1272343
319.68316, C0, 0.204786
320.08364, C0, 0.1788941
326.49132, C0, 0.1010923
328.49372, C0, 0.2129735
330.09564, C0, 0.2668396
330.29588, C0, 0.1506332
330.396, C0, 0.2024558
331.59744, C0, 0.2643533
332.09804, C0, 0.1870814
332.19816, C0, 0.4536968
332.99912, C0, 0.5397302
333.09924, C0, 0.4509939
333.19936, C0, 0.330576
333.29948, C0, 0.4481495
333.3996, C0, 0.4607336
333.49972, C0, 0.5668526
333.9002, C0, 0.6587415
334.00032, C0, 0.1173014
334.10044, C0, 0.1813501
334.9014, C0, 0.6238282
335.00152, C0, 0.4003388
335.10164, C0, 0.3867994
336.30308, C0, 0.161264
336.4032, C0, 0.5007695
337.00392, C0, 0.2827003
337.10404, C0, 0.1202763
338.20536, C0, 0.8082972
338.30548, C0, 0.5727348
341.9098, C0, 0.3787062
342.11004, C0, 0.3301271
342.61064, C0, 0.2673182
342.81088, C0, 0.4275092
342.911, C0, 0.1116445
346.51532, C0, 0.2568623
346.61544, C0, 0.7268333
346.71556, C0, 0.1131558
350.42, C0, 0.2590259
350.52012, C0, 0.2779344
350.62024, C0, 0.457536
350.72036, C0, 0.2733203
350.82048, C0, 0.1383767
351.9218, C0, 0.1484977
353.22336, C0, 0.2161876
353.82408, C0, 0.1620074
355.22576, C0, 0.1568311
357.12804, C0, 0.1026545
357.22816, C0, 0.1823659
358.52972, C0, 0.2201623
360.03152, C0, 0.1179226
360.53212, C0, 0.1500285
361.13284, C0, 0.2374028
362.23416, C0, 0.3303062
363.33548, C0, 0.1111947
363.63584, C0, 0.2380539
366.03872, C0, 0.1613975
366.4392, C0, 0.1193728
367.03992, C0, 0.17103
367.14004, C0, 0.295804
368.4416, C0, 0.141219
368.74196, C0, 0.2950078
369.04232, C0, 0.6577202
369.14244, C0, 0.1705847
370.444, C0, 0.119369
378.05312, C0, 0.1511546
378.9542, C0, 0.6870725
379.15444, C0, 0.4907383
379.25456, C0, 0.5971399
379.9554, C0, 0.1354496
380.05552, C0, 0.2102029
380.15564, C0, 0.6138612
380.25576, C0, 0.237752
381.55732, C0, 0.1546041
382.65864, C0, 0.188658
382.959, C0, 0.3340372
383.15924, C0, 0.5791958
383.35948, C0, 0.5142301
383.4596, C0, 0.2149889
383.55972, C0, 0.2713206
383.65984, C0, 0.2312578
387.4644, C0, 0.2064704
390.468, C0, 0.1846986
391.16884, C0, 0.1709286
391.66944, C0, 0.3412157
402.28216, C0, 0.1861509
402.38228, C0, 0.6827969
402.4824, C0, 0.1566673
403.4836, C0, 0.1472975
403.9842, C0, 0.2904903
404.08432, C0, 0.5343761
404.18444, C0, 0.1450441
404.68504, C0, 0.2787123
405.68624, C0, 0.1528571
406.4872, C0, 0.134697
407.78876, C0, 0.2973036
409.4908, C0, 0.1340365
410.29176, C0, 0.1446506
410.9926, C0, 0.1427834
412.09392, C0, 0.1115696
416.79956, C0, 0.1738107
416.9998, C0, 0.1108692
417.60052, C0, 0.1074392
418.40148, C0, 0.1184258
419.10232, C0, 0.1351595
420.40388, C0, 0.1355022
421.30496, C0, 0.108595
421.40508, C0, 0.1673171
421.80556, C0, 0.5281861
423.20724, C0, 0.1047948
424.30856, C0, 0.3186729
424.40868, C0, 0.2135479
427.41228, C0, 0.2516431
428.013, C0, 0.1243104
428.41348, C0, 0.1659929
429.81516, C0, 0.1082691
431.81756, C0, 0.2979872
431.91768, C0, 0.1568044
432.0178, C0, 0.2524256
432.11792, C0, 0.4062678
433.81996, C0, 0.186873
434.0202, C0, 0.2386513
434.22044, C0, 0.1215002
435.72224, C0, 0.4794334
436.32296, C0, 0.110458
436.72344, C0, 0.3002196
437.12392, C0, 0.1997947
438.32536, C0, 0.1219336
438.62572, C0, 0.1440423
442.0298, C0, 0.2480012
443.13112, C0, 0.446966
443.23124, C0, 0.4772104
443.93208, C0, 0.1051127
445.33376, C0, 0.1039878
446.43508, C0, 0.4409688
446.93568, C0, 0.1293754
447.33616, C0, 0.4894289
449.83916, C0, 0.5499132
449.93928, C0, 0.2221443
450.33976, C0, 0.7890598
450.43988, C0, 0.1481021
452.24204, C0, 0.2012606
452.74264, C0, 0.1018786
452.94288, C0, 0.1307742
453.24324, C0, 0.2201694
453.34336, C0, 0.2513862
454.64492, C0, 0.1031074
455.0454, C0, 0.4380666
455.74624, C0, 0.1060932
455.84636, C0, 0.2846133
457.14792, C0, 0.2508387
457.24804, C0, 0.3362616
459.35056, C0, 0.2217018
459.45068, C0, 0.3966806
459.5508, C0, 0.1621288
466.85956, C0, 0.2821842
467.96088, C0, 0.2680419
468.36136, C0, 0.2762387
471.0646, C0, 0.1971095
471.46508, C0, 0.2217692
471.66532, C0, 0.1710153
473.96808, C0, 0.1091023
474.66892, C0, 0.102865
475.0694, C0, 0.1043345
475.36976, C0, 0.2200153
477.0718, C0, 0.1329538
477.37216, C0, 0.163538
478.17312, C0, 0.2857852
481.17672, C0, 0.122614
482.77864, C0, 0.1223844
482.97888, C0, 0.3577354
483.079, C0, 0.7182826
483.17912, C0, 0.1297918
488.48548, C0, 0.1204394
489.68692, C0, 0.1106039
490.0874, C0, 0.1139934
491.88956, C0, 0.109656
496.79544, C0, 0.1337939
498.29724, C0, 0.1949427
501.50108, C0, 0.1768677
504.70492, C0, 0.124795
505.606, C0, 0.1318984
508.80984, C0, 0.1021406
508.90996, C0, 0.1046513
510.1114, C0, 0.1223778
510.31164, C0, 0.1092795
512.31404, C0, 0.1738601
513.31524, C0, 0.1043966
513.41536, C0, 0.1090423
513.51548, C0, 0.2057002
513.6156, C0, 0.1381984
513.71572, C0, 0.987493
513.91596, C0, 0.530452
514.1162, C0, 0.4421372
514.21632, C0, 0.4619671
514.41656, C0, 0.1156912
514.51668, C0, 0.2892464
514.6168, C0, 0.4136439
514.81704, C0, 0.1304453
514.91716, C0, 0.2741256
515.31764, C0, 0.4680928
515.51788, C0, 0.1349864
516.01848, C0, 0.4377433
516.6192, C0, 0.1098796
516.81944, C0, 0.2814044
517.1198000000001, C0, 0.2225568
517.21992, C0, 0.2460019
519.22232, C0, 0.1719302
519.42256, C0, 0.1593774
521.1246, C0, 0.1427686
521.72532, C0, 0.1434508
526.53108, C0, 0.2154014
527.43216, C0, 0.3711514
529.6348, C0, 0.1419281
530.83624, C0, 0.1502755
531.1366, C0, 0.1158863
531.23672, C0, 0.1808634
531.3368400000001, C0, 0.1930267
531.43696, C0, 0.2480333
531.5370799999999, C0, 0.3415567
532.03768, C0, 0.1337851
532.93876, C0, 0.1273352
534.6408, C0, 0.128333
534.84104, C0, 0.4381827
536.1426, C0, 0.2029117
536.6432, C0, 0.4253153
538.24512, C0, 0.2037781
545.1534, C0, 0.1945954
558.4693600000001, C0, 0.1338177
558.96996, C0, 0.199382
559.07008, C0, 0.255921
559.1702, C0, 0.1145319
559.27032, C0, 0.7510225
559.47056, C0, 0.480398
560.07128, C0, 0.7146429
561.1726, C0, 0.1242182
561.4729599999999, C0, 0.3529979
561.87344, C0, 0.1326549
561.97356, C0, 0.1051557
563.6756, C0, 0.2030349
563.77572, C0, 0.3535286
564.37644, C0, 0.7349296
566.87944, C0, 0.1259743
567.2799199999999, C0, 0.1832411
567.38004, C0, 0.3311032
567.48016, C0, 0.703136
567.58028, C0, 0.105352
569.38244, C0, 0.5007718
570.28352, C0, 0.2211255
570.88424, C0, 0.1868008
572.1858, C0, 0.1354251
575.1894, C0, 0.1046372
576.29072, C0, 0.2263071
579.6948, C0, 0.1552693
580.99636, C0, 0.1501126
581.89744, C0, 0.144306
582.29792, C0, 0.6556268
582.39804, C0, 0.3164351
582.59828, C0, 0.3301209
582.89864, C0, 0.4093737
583.09888, C0, 0.624134
583.199, C0, 0.2039659
583.39924, C0, 0.1824938
583.49936, C0, 0.3885327
584.10008, C0, 0.2582984
584.3003200000001, C0, 0.7048365
584.50056, C0, 0.2303667
584.60068, C0, 0.2372388
585.00116, C0, 0.6715955
585.10128, C0, 0.1127467
585.2014, C0, 0.1256741
585.30152, C0, 0.331889
586.00236, C0, 0.6289815
586.2026, C0, 0.3414138
586.40284, C0, 0.4035627
586.90344, C0, 0.286894
587.00356, C0, 0.3931502
587.1036800000001, C0, 0.2499144
587.2038, C0, 0.164471
587.40404, C0, 0.1503696
587.60428, C0, 0.1989969
588.10488, C0, 0.309373
588.50536, C0, 0.2882541
589.10608, C0, 0.1438195
589.60668, C0, 0.1913548
589.7068, C0, 0.1024304
592.51016, C0, 0.1400899
593.41124, C0, 0.1345737
593.81172, C0, 0.3002757
593.91184, C0, 0.1769619
