Time (s), Cell Name, Value
0.1, C1,0.22
0.1, C8,0.23
0.1, C9,0.21
0.1, C10,0.27
0.1, C12,0.34
0.1, C13,0.15
0.1, C14,0.13
0.1, C18,0.11
0.1, C21,0.36
0.1, C23,0.25
0.1, C27,0.24
0.1, C28,0.21
0.1, C32,0.11
0.1, C33,0.35
0.1, C38,0.21
0.1, C39,0.2
0.1, C40,0.52
0.1, C41,0.44
0.1, C44,0.29
0.1, C48,0.1
0.1, C56,0.22
0.1, C61,0.19
0.1, C62,0.1
0.2, C2,0.11
0.2, C9,0.56
0.2, C13,0.14
0.2, C19,0.2
0.2, C28,0.15
0.2, C41,0.11
0.2, C56,0.24
0.3, C2,0.14
0.3, C9,0.55
0.3, C12,0.11
0.3, C26,0.12
0.3, C28,0.19
0.3, C33,0.43
0.3, C40,0.44
0.3, C43,0.16
0.3, C44,0.21
0.4, C8,0.2
0.4, C9,0.21
0.4, C12,0.16
0.4, C13,0.19
0.4, C33,0.26
0.4, C40,0.21
0.4, C41,0.16
0.4, C44,0.13
0.5, C8,0.56
0.5, C9,0.51
0.5, C21,0.1
0.5, C38,0.11
0.5, C44,0.18
0.5, C61,0.11
0.6, C8,0.7
0.6, C40,0.15
0.6, C41,0.3
0.7, C21,0.12
0.7, C34,0.2
0.7, C41,0.23
0.8, C27,0.13
0.8, C40,0.29
0.9, C2,0.26
0.9, C10,0.19
0.9, C13,0.13
0.9, C43,0.18
0.9, C47,0.19
1.0, C10,0.32
1.0, C40,0.57
1.0, C43,0.15
1.0, C47,0.29
1.1, C20,0.1
1.1, C27,0.2
1.1, C40,0.36
1.1, C47,0.34
1.2, C5,0.13
1.2, C19,0.15
1.2, C21,0.1
1.2, C47,0.22
1.2, C61,0.15
1.3, C0,0.14
1.3, C8,0.13
1.3, C28,0.11
1.3, C40,0.3
1.3, C47,0.12
1.4, C5,0.14
1.4, C47,0.24
1.4, C62,0.24
1.5, C13,0.13
1.5, C20,0.1
1.5, C49,0.11
1.6, C2,0.14
1.6, C12,0.15
1.6, C13,0.13
1.6, C17,0.13
1.6, C21,0.13
1.6, C24,0.12
1.6, C62,0.12
1.7, C0,0.12
1.7, C15,0.1
1.7, C24,0.1
1.7, C26,0.16
1.7, C34,0.16
1.7, C39,0.15
1.8, C10,0.16
1.8, C25,0.11
1.8, C40,0.87
1.8, C56,0.12
1.9, C1,0.26
1.9, C12,0.11
1.9, C24,0.13
1.9, C28,0.12
1.9, C54,0.24
2.0, C10,0.14
2.0, C13,0.13
2.0, C40,0.16
2.0, C43,0.11
2.1, C0,0.27
2.1, C13,0.11
2.1, C28,0.12
2.1, C40,0.16
2.1, C54,0.13
2.1, C56,0.1
2.2, C1,0.68
2.2, C2,0.19
2.2, C12,0.1
2.2, C13,0.12
2.2, C18,0.17
2.2, C56,0.21
2.3, C10,0.9
2.3, C12,0.21
2.3, C13,0.12
2.3, C37,0.11
2.3, C40,0.31
2.3, C50,0.15
2.4, C8,0.63
2.4, C12,0.11
2.4, C21,0.12
2.4, C34,0.11
2.4, C39,0.16
2.4, C60,0.15
2.4, C62,0.12
2.5, C8,0.83
2.5, C9,0.78
2.5, C19,0.13
2.5, C41,0.19
2.5, C44,0.17
2.6, C9,0.85
2.6, C28,0.19
2.6, C34,0.13
2.6, C40,0.46
2.6, C41,0.13
2.6, C44,0.36
2.6, C61,0.12
2.7, C9,0.45
2.7, C21,0.25
2.7, C28,0.11
2.7, C30,0.11
2.7, C33,0.2
2.7, C41,0.26
2.7, C44,0.21
2.8, C5,0.16
2.8, C9,0.38
2.8, C24,0.19
2.8, C33,0.1
2.8, C41,0.41
2.8, C44,0.4
2.9, C9,0.73
2.9, C22,0.12
2.9, C40,0.33
2.9, C43,0.14
3.0, C2,0.13
3.0, C9,0.34
3.0, C13,0.14
3.0, C21,0.31
3.0, C38,0.27
3.0, C40,0.31
3.0, C51,0.16
3.1, C9,0.23
3.1, C19,0.11
3.1, C23,0.2
3.1, C34,0.15
3.2, C3,0.1
3.2, C43,0.27
3.2, C59,0.15
3.2, C61,0.31
3.3, C28,0.3
3.3, C40,0.16
3.3, C56,0.12
3.4, C10,0.31
3.4, C27,0.11
3.4, C38,0.18
3.4, C56,0.17
3.5, C5,0.11
3.5, C13,0.11
3.5, C26,0.13
3.5, C27,0.2
3.5, C30,0.12
3.5, C40,0.41
3.5, C43,0.3
3.5, C45,0.22
3.5, C47,0.24
3.6, C13,0.13
3.6, C40,0.46
3.6, C47,0.11
3.6, C56,0.1
3.7, C41,0.17
3.7, C45,0.23
3.7, C49,0.12
3.8, C2,0.11
3.8, C16,0.13
3.8, C22,0.13
3.8, C24,0.23
3.8, C40,0.13
3.8, C45,0.48
3.8, C47,0.29
3.9, C12,0.11
3.9, C13,0.12
3.9, C17,0.15
3.9, C19,0.13
3.9, C28,0.26
3.9, C45,1.0
3.9, C47,1.0
3.9, C56,0.11
3.9, C62,0.21
4.0, C3,0.1
4.0, C5,0.21
4.0, C21,0.12
4.0, C40,0.45
4.0, C45,0.3
4.0, C47,0.61
4.1, C47,0.7
4.21, C2,0.21
4.21, C17,0.19
4.21, C24,0.19
4.21, C30,0.15
4.21, C40,0.23
4.21, C47,0.39
4.31, C45,0.56
4.41, C13,0.16
4.41, C33,0.13
4.41, C45,0.18
4.51, C5,0.12
4.51, C28,0.13
4.51, C41,0.13
4.61, C2,0.14
4.61, C10,0.29
4.61, C13,0.12
4.61, C15,0.13
4.61, C40,0.35
4.61, C43,0.14
4.71, C45,0.34
4.81, C3,0.13
4.81, C19,0.13
4.81, C24,0.11
4.81, C30,0.15
4.81, C40,0.16
4.81, C45,0.57
4.81, C61,0.19
4.91, C19,0.12
4.91, C21,0.27
4.91, C30,0.25
4.91, C50,0.11
5.01, C19,0.13
5.01, C24,0.23
5.01, C28,0.13
5.01, C40,0.9
5.01, C47,0.13
5.01, C61,0.17
5.11, C28,0.18
5.11, C47,0.72
5.21, C19,0.24
5.21, C34,0.1
5.21, C38,0.11
5.21, C43,0.13
5.21, C47,0.74
5.31, C17,0.21
5.31, C19,0.14
5.31, C40,0.41
5.31, C47,0.73
5.41, C2,0.19
5.41, C12,0.13
5.41, C24,0.16
5.41, C40,0.28
5.41, C47,0.59
5.41, C61,0.13
5.51, C0,0.12
5.51, C24,0.18
5.51, C47,0.29
5.51, C54,0.13
5.61, C20,0.17
5.61, C40,0.52
5.61, C54,0.15
5.71, C13,0.18
5.71, C62,0.33
5.81, C19,0.12
5.81, C43,0.17
5.81, C49,0.14
5.81, C50,0.14
5.91, C2,0.17
5.91, C13,0.13
6.01, C14,0.1
6.01, C19,0.4
6.01, C40,0.36
6.01, C47,0.36
6.01, C61,0.17
6.11, C40,0.12
6.11, C47,0.39
6.21, C24,0.12
6.21, C28,0.11
6.21, C34,0.14
6.21, C47,0.22
6.31, C19,0.21
6.31, C23,0.11
6.31, C28,0.19
6.31, C47,0.48
6.31, C61,0.32
6.41, C13,0.12
6.41, C19,0.25
6.41, C25,0.13
6.41, C40,0.29
6.41, C47,0.24
6.51, C1,0.1
6.51, C9,0.11
6.51, C12,0.12
6.51, C24,0.19
6.51, C27,0.1
6.51, C33,0.18
6.51, C34,0.11
6.51, C40,0.11
6.51, C41,0.16
6.51, C54,0.15
6.51, C62,0.2
6.61, C30,0.13
6.61, C33,0.21
6.61, C43,0.17
6.71, C13,0.16
6.71, C33,0.19
6.71, C34,0.15
6.71, C40,0.36
6.71, C41,0.11
6.81, C0,0.15
6.81, C20,0.14
6.81, C33,0.53
6.81, C40,0.26
6.81, C41,0.22
6.91, C9,0.23
6.91, C13,0.14
7.01, C2,0.1
7.01, C9,0.17
7.01, C19,0.14
7.01, C22,0.18
7.01, C28,0.11
7.01, C41,0.21
7.01, C44,0.18
7.11, C9,0.28
7.11, C25,0.1
7.11, C28,0.3
7.11, C33,0.21
7.11, C41,0.19
7.21, C9,0.39
7.21, C24,0.16
7.21, C28,0.15
7.21, C33,0.27
7.21, C34,0.12
7.21, C40,0.45
7.21, C41,0.11
7.21, C44,0.46
7.31, C9,0.59
7.31, C15,0.11
7.31, C24,0.31
7.31, C30,0.11
7.31, C33,0.33
7.31, C34,0.45
7.31, C37,0.1
7.31, C41,0.25
7.41, C10,0.14
7.41, C13,0.13
7.41, C34,1.0
7.41, C40,0.12
7.51, C10,0.32
7.51, C13,0.11
7.51, C24,0.21
7.51, C34,0.49
7.51, C40,0.15
7.61, C10,0.22
7.61, C28,0.11
7.61, C30,0.11
7.61, C40,0.76
7.61, C43,0.2
7.61, C47,0.14
7.71, C3,0.11
7.71, C10,0.42
7.71, C40,0.11
7.71, C47,0.1
7.71, C57,0.11
7.71, C61,0.14
7.81, C19,0.29
7.81, C40,0.2
7.81, C45,0.21
7.81, C57,0.14
7.91, C12,0.1
7.91, C19,0.14
7.91, C40,0.15
7.91, C45,0.48
7.91, C61,0.24
8.01, C2,0.2
8.01, C13,0.23
8.01, C19,0.45
8.01, C24,0.18
8.01, C45,0.86
8.01, C57,0.27
8.01, C61,0.25
8.11, C19,0.19
8.11, C22,0.11
8.11, C23,0.11
8.11, C43,0.14
8.11, C45,0.37
8.11, C57,0.34
8.11, C61,0.17
8.21, C19,0.7
8.21, C57,0.4
8.21, C61,0.62
8.31, C5,0.15
8.31, C19,0.91
8.31, C57,0.35
8.31, C61,0.6
8.41, C19,0.6
8.41, C22,0.14
8.41, C40,0.31
8.41, C57,0.18
8.41, C61,0.51
8.51, C22,0.15
8.51, C41,0.17
8.51, C57,0.17
8.61, C5,0.14
8.61, C13,0.11
8.61, C22,0.33
8.61, C40,0.5
8.61, C56,0.13
8.71, C22,0.11
8.71, C38,0.1
8.81, C2,0.13
8.81, C12,0.11
8.81, C13,0.15
8.81, C41,0.17
8.81, C43,0.2
8.91, C26,0.21
8.91, C40,0.19
8.91, C51,0.23
8.91, C56,0.2
9.01, C13,0.1
9.01, C26,0.12
9.01, C32,0.23
9.01, C40,0.45
9.01, C56,0.11
9.11, C17,0.12
9.11, C40,0.13
9.21, C30,0.14
9.21, C51,0.66
9.21, C56,0.14
9.31, C32,0.28
9.31, C40,0.5
9.31, C51,0.72
9.41, C2,0.14
9.41, C17,0.13
9.41, C20,0.26
9.41, C21,0.21
9.41, C43,0.32
9.41, C51,0.65
9.41, C56,0.18
9.51, C2,0.14
9.51, C43,0.14
9.51, C51,0.32
9.51, C60,0.24
9.61, C9,0.12
9.61, C16,0.1
9.61, C26,0.18
9.61, C40,0.39
9.61, C56,0.17
9.71, C12,0.14
9.71, C13,0.11
9.71, C56,0.19
9.71, C61,0.14
9.81, C62,0.14
9.91, C2,0.18
9.91, C13,0.15
9.91, C16,0.22
9.91, C20,0.1
9.91, C26,0.11
9.91, C29,0.13
9.91, C40,0.29
9.91, C56,0.28
9.91, C60,0.16
9.91, C62,0.54
10.01, C2,0.17
10.01, C8,0.1
10.01, C13,0.17
10.01, C40,0.2
10.11, C30,0.1
10.11, C40,0.16
10.11, C43,0.14
10.21, C6,0.1
10.21, C13,0.16
10.21, C16,0.33
10.21, C28,0.13
10.21, C56,0.48
10.21, C60,0.2
10.31, C2,0.3
10.31, C12,0.11
10.31, C16,1.0
10.31, C28,0.1
10.31, C30,0.13
10.31, C40,0.29
10.31, C43,0.17
10.31, C56,0.49
10.31, C60,0.24
10.31, C61,0.18
10.41, C13,0.16
10.41, C16,0.35
10.51, C40,0.22
10.51, C43,0.11
10.61, C21,0.34
10.61, C43,0.11
10.71, C6,0.24
10.71, C13,0.13
10.71, C40,0.79
10.71, C43,0.15
10.71, C51,0.3
10.81, C16,0.58
10.81, C28,0.29
10.81, C43,0.12
10.81, C61,0.11
10.91, C51,0.98
11.01, C5,0.11
11.01, C21,0.36
11.01, C30,0.14
11.01, C40,0.14
11.01, C49,0.11
11.01, C51,0.68
11.11, C21,0.16
11.11, C27,0.12
11.11, C30,0.13
11.11, C40,0.5
11.11, C57,0.14
11.21, C13,0.16
11.21, C27,0.13
11.31, C3,0.1
11.31, C13,0.11
